IND,Plot,Wet Weight,LA,Dry Mass,Trichomes,Serrations
SPIALB_SH_9A_2,4,0.0706,,0.01939,,
AROMEL_WM_2_1,4,0.22587,,0.06851,,
AROMEL_WM_2_2,4,0.254,,0.07688,,
SPIALB_HF_1_1,4,0.08915,,0.02561,,
SPIALB_HF_1_2,4,0.08366,,0.02312,,
SPITOM_WM_5B_1,4,0.07713,,0.02049,,
SPITOM_WM_5B_2,4,0.08937,,0.02414,,
SPIALB_WM_2A_1,4,0.06396,,0.01487,,
SPIALB_WM_2A_2,4,0.08518,,0.0255,,
MYRGAL_SH_2A_1,4,0.0731,,0.02141,,
MYRGAL_SH_2A_2,4,0.06264,,0.01643,,
MYRGAL_GR_8B_1,4,0.06458,,0.01731,,
MYRGAL_GR_8B_2,4,0.06677,,0.01729,,
SPITOM_SH_99_1,4,0.02452,,0.00855,,
SPITOM_SH_99_2,4,0.0293,,0.00951,,
MYRGAL_GR_8A_1,4,0.0819,,0.02098,,
MYRGAL_GR_8A_2,4,0.0846,,0.02264,,
SPIALB_HF_4_1,4,0.02828,,0.01084,,
SPIALB_HF_4_2,4,0.05246,,0.01366,,
SPITOM_SH_9_1,4,0.03517,,0.01142,,
SPITOM_SH_9_2,4,0.05383,,0.01631,,
MYRGAL_SH_1A_1,4,0.06413,,0.01871,,
MYRGAL_SH_1A_2,4,0.06117,,0.01803,,
SPIALB_GR_3_1,4,0.06023,,0.01622,,
SPIALB_GR_3_2,4,0.06147,,0.01574,,
VIBCAS_WM_4_1,4,0.41489,,0.09404,,
VIBCAS_WM_4_2,4,0.756,,0.18326,,
SPITOM_WM_5C_1,4,0.05559,,0.01818,,
SPITOM_WM_5C_2,4,0.06102,,0.01924,,
SPIALB_SH_8_1,4,0.0605,,0.01644,,
SPIALB_SH_8_2,4,0.07204,,0.01969,,
VIBCAS_GR_12A_1,4,0.778,,0.21597,,
VIBCAS_GR_12A_2,4,0.7919,,0.21669,,
AROMEL_WM_15_1,4,0.13757,,0.04087,,
AROMEL_WM_15_2,4,0.13673,,0.03915,,
SPIALB_SH_4A_1,4,0.06503,,0.0215,,
SPIALB_SH_4A_2,4,0.07795,,0.02574,,
SPIALB_SH_7_1,4,0.08667,,0.02379,,
SPIALB_SH_7_2,4,0.0952,,0.02763,,
MYRGAL_WM_6B_1,4,0.03253,,0.01153,,
MYRGAL_WM_6B_2,4,0.05025,,0.01417,,
SPIALB_GR_7_1,4,0.06463,,0.02121,,
SPIALB_GR_7_2,4,0.09979,,0.03195,,
SPIALB_SH_4B_1,4,0.04434,,0.01359,,
SPIALB_SH_4B_2,4,0.04598,,0.01449,,
VIBCAS_GR_12B_1,4,0.56067,,0.13633,,
VIBCAS_GR_12B_2,4,0.7835,,0.20746,,
SPIALB_WM_7A_1,4,0.10165,,0.02789,,
SPIALB_WM_7A_2,4,0.09583,,0.02665,,
MYRGAL_GR_8C_1,4,0.05457,,0.01539,,
MYRGAL_GR_8C_2,4,0.09449,,0.02443,,
SPIALB_HF_8_1,4,0.08407,,0.02776,,
SPIALB_HF_8_2,4,0.10272,,0.03475,,
SPITOM_WM_5D_1,4,0.01836,,0.00722,,
SPITOM_WM_5D_2,4,0.03265,,0.01217,,
SPIALB_SH_1_1,4,0.07829,,0.02394,,
SPIALB_SH_1_2,4,0.07408,,0.02131,,
MYRGAL_SH_2B_1,4,0.03298,,0.00901,,
MYRGAL_SH_2B_2,4,0.03744,,0.01048,,
SPITOM_WM_5A_1,4,0.11504,,0.02676,,
SPITOM_WM_5A_2,4,0.1974,,0.05274,,
SPIALB_GR_12_1,4,0.03162,,0.01114,,
SPIALB_GR_12_2,4,0.0602,,0.01711,,
VIBCAS_GR_9_1,4,0.7,,0.18048,,
VIBCAS_GR_9_2,4,0.696,,0.19157,,
VIBCAS_SH_1_1,4,0.642,,0.16854,,
VIBCAS_SH_1_2,4,0.77355,,0.21546,,
ACEPEN_WM_5_1,5,1.156,,0.36727,,
ACEPEN_WM_5_2,5,1.341,,0.41997,,
BETPAP_HF_16_1,5,1.083,,0.3449,,
BETPAP_HF_16_2,5,1.135,,0.36325,,
BETALL_WM_8B_1,5,0.793,,0.2407,,
BETALL_WM_8B_2,5,0.902,,0.2727,,
AMECAN_SH_4_1,5,0.1761,,0.0659,,
AMECAN_SH_4_2,5,0.1447,,0.05258,,
AMECAN_GR_10B_1,5,0.5056,,0.16881,,
AMECAN_GR_10B_2,5,0.38813,,0.13479,,
ALNINC_GR_1_1,5,0.7307,,0.23387,,
