IND,Plot,Wet Weight,LA,Dry Mass,Trichomes,Serrations
BETPAP_HF_16_2,12,0.72062,,0.25599,,
BETALL_WM_8A_1,12,0.39378,,0.14387,,
BETALL_WM_8A_2,12,0.385,,0.13713,,
BETPAP_GR_8_1,12,0.3024,,0.11134,,
BETPAP_GR_8_2,12,0.42201,25.34,0.12713,,
BETPOP_GR_5C_1,12,0.1832,,0.05764,,
BETPOP_GR_5C_2,12,0.37814,,0.10647,,
BETALL_WM_8B_1,12,0.4528,,0.13971,,
BETALL_WM_8B_2,12,0.38067,,0.12268,,
SAMRAC_HF_A_1,13,2.99,,0.70438,,
SAMRAC_HF_A_2,13,2.907,,0.73586,,
VACMYR_WM_5_1,13,0.0173,,0.0082,,
VACMYR_WM_5_2,13,0.02542,,0.00774,,
DIELON_WM_1A_1,13,0.2537,,0.07767,,
DIELON_WM_1A_2,13,0.4118,,0.12288,,
SAMRAC_HF_B_1,13,3.95,,0.95244,,
SAMRAC_HF_B_2,13,3.13199,,0.6896,,
VACMYR_GR_10A_1,13,0.02723,,0.01164,,
VACMYR_GR_10A_2,13,0.02859,,0.01227,,
DIELON_HF_2A_1,13,0.05725,,0.02029,,
DIELON_HF_2A_2,13,0.2663,,0.072,,
SORAME_SH_1A_1,13,0.954,,0.33276,,
SORAME_SH_1A_2,13,0.6338,,0.22325,,
VACMYR_GR_10B_1,13,0.01195,,0.00502,,
VACMYR_GR_10B_2,13,0.00731,,0.0033,,
SORAME_SH_1B_1,13,1.4578,,0.50833,,
SORAME_SH_1B_2,13,1.09,,0.39215,,
DIELON_GR_8_1,13,0.197,,0.07191,,
DIELON_GR_8_2,13,0.2703,,0.09147,,
DIELON_WM_1C_1,13,0.31412,,0.09452,,
DIELON_WM_1C_2,13,0.26987,,0.08063,,
DIELON_SH_2B_1,13,0.25589,,0.07249,,
DIELON_SH_2B_2,13,0.5887,,0.17904,,
SAMRAC_HF_D_1,13,4.53,,0.92491,,
SAMRAC_HF_D_2,13,2.0505,,0.44506,,
DIELON_HF_2C_1,13,0.27053,,0.09252,,
DIELON_HF_2C_2,13,0.4458,,0.14265,,
SAMRAC_GR_8_1,13,2.578,,0.5645,,
SAMRAC_GR_8_2,13,2.23,,0.45272,,
SAMRAC_HF_C_1,13,3.01,,0.67487,,
SAMRAC_HF_C_2,13,3.068,,0.69494,,
VACMYR_GR_10C_1,13,0.02022,,0.00794,,
VACMYR_GR_10C_2,13,0.03652,,0.01419,,
DIELON_WM_1B_1,13,0.258,,0.09054,,
DIELON_WM_1B_2,13,0.3388,,0.11568,,
DIELON_SH_2A_1,13,0.22884,,0.07075,,
DIELON_SH_2A_2,13,0.3352,,0.09536,,
DIELON_SH_4_1,13,0.27908,,0.09363,,
DIELON_SH_4_2,13,0.21009,,0.07962,,
SORAME_SH_3_1,13,0.346,,0.10012,,
SORAME_SH_3_2,13,0.6485,,0.20394,,
DIELON_HF_2B_1,13,0.298,,0.09574,,
DIELON_HF_2B_2,13,0.51541,,0.15275,,
MYRGAL_WM_6_1,14,0.04776,,0.01761,,
MYRGAL_WM_6_2,14,0.06831,,0.02558,,
VIBCAS_WM_7_1,14,0.08555,,0.02604,,
VIBCAS_WM_7_2,14,0.11147,,0.03685,,
SAMRAC_GR_4_1,14,0.4854,,0.14152,,
SAMRAC_GR_4_2,14,0.27033,,0.07825,,
AROMEL_WM_2_1,14,0.1415,,0.0511,,
AROMEL_WM_2_2,14,0.13987,,0.05093,,
VIBCAS_HF_7_1,14,0.42691,,0.1432,,
VIBCAS_HF_7_2,14,0.58216,,0.19453,,
VIBCAS_GR_3_1,14,0.2667,,0.08682,,
VIBCAS_GR_3_2,14,0.32826,,0.10729,,
AROMEL_HF_13_1,14,0.26695,,0.08697,,
AROMEL_HF_13_2,14,0.26309,,0.0882,,
DIELON_GR_6_1,14,0.25315,,0.08821,,
DIELON_GR_6_2,14,0.25254,,0.08938,,
DIELON_GR_2_1,14,0.26414,,0.08787,,
DIELON_GR_2_2,14,0.50972,,0.15916,,
AROMEL_HF_12_1,14,0.2772,,0.09827,,
AROMEL_HF_12_2,14,0.3403,,0.11771,,
MYRGAL_SH_99_1,14,0.04546,,0.01552,,
MYRGAL_SH_99_2,14,0.05058,,0.01692,,
DIELON_SH_4_1,14,0.05489,,0.02093,,
DIELON_SH_4_2,14,0.06453,,0.02639,,
SORAME_SH_3_1,14,0.32839,,0.12214,,
SORAME_SH_3_2,14,0.33277,,0.12737,,
BETALL_GR_13_1,15,0.22476,,0.08439,,
BETALL_GR_13_2,15,0.22149,,0.09134,,
AMECAN_SH_3_1,15,0.13177,,0.0532,,
AMECAN_SH_3_2,15,0.20632,,0.08,,
BETALL_GR_14_1,15,0.23355,,0.08812,,
BETALL_GR_14_2,15,0.47,,0.17559,,
ALNINC_SH_4_1,15,0.5748,,0.21077,,
ALNINC_SH_4_2,15,0.6452,,0.23976,,
BETPOP_WM_9_1,15,0.301,,0.10725,,
BETPOP_WM_9_2,15,0.35572,,0.11244,,
ALNINC_GR_11_1,15,0.8054,,0.23261,,
ALNINC_GR_11_2,15,0.71469,,0.2428,,
ALNINC_HF_9_1,15,0.6972,,0.23895,,
ALNINC_HF_9_2,15,0.7152,,0.23095,,
QUEALB_HF_4_1,15,0.26497,,0.10064,,
QUEALB_HF_4_2,15,0.66105,,0.23146,,
BETPOP_WM_7_1,15,0.3512,,0.0972,,
BETPOP_WM_7_2,15,0.40136,,0.12824,,
BETPOP_WM_8_1,15,0.21907,,0.07912,,
BETPOP_WM_8_2,15,0.3059,,0.11219,,
BETPOP_WM_8_1,16,0.3786,,0.13852,,
BETPOP_WM_8_2,16,0.5206,,0.18272,,
QUEALB_HF_4A_1,16,0.3696,,0.13178,,
QUEALB_HF_4A_2,16,0.5146,,0.20727,,
QUEALB_HF_4B_1,16,0.52006,,0.18093,,
QUEALB_HF_4B_2,16,0.4852,,0.16672,,
ALNINC_GR_8_1,16,0.57272,,0.22663,,
ALNINC_GR_8_2,16,0.60045,,0.23087,,
ALNINC_WM_5A_1,16,0.52549,,0.19159,,
ALNINC_WM_5A_2,16,0.63165,,0.24112,,
BETPOP_GR_3_1,16,0.34847,,0.12455,,
BETPOP_GR_3_2,16,0.3119,,0.11626,,
ALNINC_SH_3_1,16,0.57054,,0.19806,,
ALNINC_SH_3_2,16,0.58545,,0.21533,,
BETALL_SH_7_1,16,0.46877,,0.15368,,
BETALL_SH_7_2,16,0.66906,,0.20324,,
ALNINC_HF_1_1,16,0.47162,,0.17163,,
ALNINC_HF_1_2,16,0.57824,,0.19975,,
BETALL_GR_14_1,16,0.30863,,0.1073,,
BETALL_GR_14_2,16,0.1852,,0.06546,,
ALNINC_WM_5B_1,16,0.402,,0.15189,,
ALNINC_WM_5B_2,16,0.45527,,0.17909,,
