Individual,Plot,wet.wt,dr.wt,area,area.consumed,herbivory.perc,toughness
BETPOP_WM_9_2,15,0.367,0.125,23.367,0,0.002,0.3
ALNINC_GR_11_1,15,1.184,0.395,59.401,0.008,0.014,1.08
ALNINC_GR_11_2,15,1.377,0.498,71.817,0.003,0.004,1.59
ALNINC_HF_9_1,15,1.439,0.505,71.743,0.005,0.007,0.8
ALNINC_HF_9_2,15,1.585,0.575,72.065,0.003,0.004,0.58
QUEALB_HF_4_1,15,1.098,0.515,61.729,0.02,0.033,1.9
QUEALB_HF_4_2,15,0.788,0.365,52.011,0.601,1.155,1.21
BETPOP_WM_7_1,15,0.258,0.095,15.617,0,0.003,0.12
BETPOP_WM_7_2,15,0.352,0.13,20.738,0,0,0.47
BETPOP_WM_8_1,15,0.503,0.174,29.517,0.014,0.048,0.59
BETPOP_WM_8_2,15,0.534,0.203,31.846,0,0.001,0.31
BETPOP_WM_8_1,16,0.411,0.144,24.435,0,0,0.28
BETPOP_WM_8_2,16,0.559,0.201,33.756,0.001,0.003,0.57
QUEALB_HF_4A_1,16,0.679,0.325,44.314,0.001,0.003,1.13
QUEALB_HF_4A_2,16,0.724,0.35,50.319,0.026,0.051,0.94
QUEALB_HF_4B_1,16,0.14,0.063,8.491,0.006,0.075,1.6
QUEALB_HF_4B_2,16,0.142,0.067,8.932,0,0.004,1.34
ALNINC_GR_8_1,16,0.397,0.14,22.009,0.001,0.003,0.42
ALNINC_GR_8_2,16,1.865,0.677,94.349,0.001,0.001,1.3
ALNINC_WM_5A_1,16,0.65,0.224,33.958,0.002,0.005,0.44
ALNINC_WM_5A_2,16,2.48,0.962,114.985,0.003,0.002,1.07
BETPOP_GR_3_1,16,0.867,0.188,43.947,0.001,0.002,0.63
BETPOP_GR_3_2,16,1.171,0.273,58.171,0.003,0.004,0.33
ALNINC_SH_3_1,16,1.513,0.591,73.824,0.001,0.001,0.85
ALNINC_SH_3_2,16,1.383,0.545,64.485,0.004,0.006,0.62
BETALL_SH_7_1,16,0.387,0.129,19.366,0.001,0.006,0.37
BETALL_SH_7_2,16,0.457,0.151,22.991,0,0.001,0.34
ALNINC_HF_1_1,16,1.122,0.419,52.52,0,0.001,0.7
ALNINC_HF_1_2,16,1.269,0.468,60.511,0.004,0.006,0.54
BETALL_GR_14_1,16,0.196,0.078,13.136,0.001,0.005,0.37
BETALL_GR_14_2,16,0.349,0.153,22.192,0.001,0.003,1.4
ALNINC_WM_5B_1,16,1.612,0.604,82.097,0.007,0.009,1.07
ALNINC_WM_5B_2,16,2.005,0.81,103.135,0.005,0.005,0.73
BETALL_WM_9_1,16,1.835,0.473,91.074,0.004,0.004,0.51
BETALL_WM_9_2,16,1.424,0.366,69.32,0.007,0.01,0.29
