"spp","site","ind","plot","year","budburst","leafout","budset","risk","Plot","provenance.lat","provenance.long"
"AMECAN","GR","10","6",2019,93,112,240,19,NA,44.794942,-71.146683
"AMECAN","GR","10A","3",2019,97,112,232,15,NA,44.794942,-71.146683
"AMECAN","GR","10A","5",2019,119,135,240,16,NA,44.794942,-71.146683
"AMECAN","GR","10B","3",2019,93,112,249,19,NA,44.794942,-71.146683
"AMECAN","GR","10B","5",2019,93,119,232,26,NA,44.794942,-71.146683
"AMECAN","SH","2","6",2019,NA,155,NA,NA,NA,45.932675,-74.02507
"AMECAN","SH","3","15",2019,93,112,260,19,NA,45.932675,-74.02507
"AMECAN","SH","4","5",2019,93,112,260,19,NA,45.932675,-74.02507
"AMECAN","SH","4","6",2019,93,112,260,19,NA,45.932675,-74.02507
"AMECAN","WM","1","2",2019,97,112,256,15,NA,44.112337,-71.230138
"AROMEL","HF","10","8",2019,93,119,249,26,NA,42.531705,-72.18992
"AROMEL","HF","12","11",2019,93,115,240,22,NA,42.531705,-72.18992
"AROMEL","HF","12","14",2019,93,115,267,22,NA,42.531705,-72.18992
"AROMEL","HF","13","14",2019,93,115,249,22,NA,42.531705,-72.18992
"AROMEL","HF","4","8",2019,93,119,249,26,NA,42.531705,-72.18992
"AROMEL","HF","8A","11",2019,93,119,249,26,NA,42.531705,-72.18992
"AROMEL","HF","8B","11",2019,97,115,240,18,NA,42.531705,-72.18992
"AROMEL","WM","15","4",2019,97,129,256,32,NA,44.112337,-71.230138
"AROMEL","WM","2","14",2019,97,115,253,18,NA,44.112337,-71.230138
"AROMEL","WM","2","4",2019,93,129,245,36,NA,44.112337,-71.230138
"AROMEL","WM","5","11",2019,103,119,249,16,NA,44.112337,-71.230138
"AROMEL","WM","5","4",2019,NA,142,253,NA,NA,44.112337,-71.230138
"AROMEL","WM","7","8",2019,93,115,249,22,NA,44.112337,-71.230138
"BETALL","GR","1","3",2019,112,135,260,23,NA,44.794942,-71.146683
"BETALL","GR","12","1",2019,107,115,260,8,NA,44.794942,-71.146683
"BETALL","GR","12","3",2019,107,123,260,16,NA,44.794942,-71.146683
"BETALL","GR","13","1",2019,107,127,260,20,NA,44.794942,-71.146683
"BETALL","GR","13","15",2019,107,119,249,12,NA,44.794942,-71.146683
