 ,Label,Area,Perim.,
57,SAMRAC_HF_A_2_P13.jpeg,1.997,7.912,
58,SAMRAC_HF_A_2_P13.jpeg,1.966,7.921,
59,SAMRAC_HF_A_2_P13.jpeg,1.666,6.841,
60,SAMRAC_HF_A_2_P13.jpeg,2.917,9.243,
61,SAMRAC_HF_A_2_P13.jpeg,3.551,10.191,
62,SAMRAC_HF_B_1_P10.jpg,176.585,164.563,193.084
63,SAMRAC_HF_B_1_P10.jpg,1.319,6.469,
64,SAMRAC_HF_B_1_P10.jpg,0.425,3.488,
65,SAMRAC_HF_B_1_P10.jpg,4.353,11.53,
66,SAMRAC_HF_B_1_P10.jpg,1.048,7.034,
67,SAMRAC_HF_B_2_P10.jpg,177.854,182.676,211.211
68,SAMRAC_HF_B_2_P10.jpg,1.748,8.013,
69,SAMRAC_HF_B_2_P10.jpg,2.965,9.151,
70,SAMRAC_HF_B_2_P10.jpg,0.132,1.824,
71,SAMRAC_HF_B_2_P10.jpg,1.154,6.82,
72,SAMRAC_HF_B_2_P10.jpg,0.122,1.915,
73,SAMRAC_HF_B_2_P10.jpg,0.035,0.812,
74,SAMRAC_HF_B_1_P13.jpg,215.635,157.287,191.339
75,SAMRAC_HF_B_1_P13.jpg,1.642,7.261,
76,SAMRAC_HF_B_1_P13.jpg,1.819,7.133,
77,SAMRAC_HF_B_1_P13.jpg,1.978,8.187,
78,SAMRAC_HF_B_1_P13.jpg,1.849,6.548,
79,SAMRAC_HF_B_1_P13.jpg,0.954,4.923,
80,SAMRAC_HF_B_2_P13.jpg,153.744,119.156,160.757
81,SAMRAC_HF_B_2_P13.jpg,1.361,6.623,
82,SAMRAC_HF_B_2_P13.jpg,0.221,2.511,
83,SAMRAC_HF_B_2_P13.jpg,0.547,3.723,
84,SAMRAC_HF_B_2_P13.jpg,1.188,8.779,
85,SAMRAC_HF_B_2_P13.jpg,0.056,1.037,
86,SAMRAC_HF_B_2_P13.jpg,0.124,1.895,
87,SAMRAC_HF_B_2_P13.jpg,0.064,1.257,
88,SAMRAC_HF_B_2_P13.jpg,0.052,1.001,
89,SAMRAC_HF_B_2_P13.jpg,0.187,2.942,
90,SAMRAC_HF_B_2_P13.jpg,2.108,8.276,
91,SAMRAC_HF_B_2_P13.jpg,0.438,3.557,
92,SAMRAC_HF_C_1_P13.jpg,152.978,119.212,147.807
