 ,Label,Area,Perim.
1,ALNINC_SH_1_1_P1.jpg,48.654,34.546
2,ALNINC_SH_1_2_P1.jpg,56.086,35.670
3,ALNINC_SH_1_1_P12.jpg,54.379,34.921
4,ALNINC_SH_1_2_P12.jpg,42.543,30.001
5,ALNINC_SH_3_1_P16.jpg,36.547,31.204
6,ALNINC_SH_3_2_P16.jpg,32.666,27.997
7,ALNINC_SH_4_1_P2.jpg,38.540,27.476
8,ALNINC_SH_4_2_P2.jpg,43.354,29.904
9,ALNINC_SH_4_1_P15.jpg,35.842,28.100
10,ALNINC_SH_4_2_P15.jpg,41.864,30.514
11,ALNINC_SH_5_1_P2.jpg,32.478,25.567
12,ALNINC_SH_5_2_P2.jpg,41.285,31.574
13,ALNINC_SH_5_1_P3.jpg,26.986,22.349
14,ALNINC_SH_5_2_P3.jpg,27.542,22.716
15,ALNINC_SH_06_1_P5.jpg,34.439,29.029
16,ALNINC_SH_06_2_P5.jpg,30.109,25.742
17,ALNINC_SH_8_1_P9.jpg,29.579,24.127
18,ALNINC_SH_8_2_P9.jpg,27.787,23.837
19,ALNINC_WM_1_1_P1.jpg,44.720,32.675
20,ALNINC_WM_1_2_P1.jpg,53.308,37.689
21,ALNINC_WM_2A_1_P1.jpg,34.294,27.105
22,ALNINC_WM_2A_2_P1.jpg,55.734,34.183
23,ALNINC_WM_2B_1_P1.jpg,36.206,28.225
24,ALNINC_WM_2B_2_P1.jpg,46.944,31.354
25,ALNINC_WM_5_1_P1.jpg,32.825,27.949
26,ALNINC_WM_5_2_P1.jpg,34.133,26.830
27,ALNINC_WM_5A_1_P2.jpg,27.851,23.639
28,ALNINC_WM_5A_2_P2.jpg,29.498,27.292
29,ALNINC_WM_5A_1_P16.jpg,32.104,28.709
30,ALNINC_WM_5A_2_P16.jpg,39.128,32.974
31,ALNINC_WM_5B_1_P2.jpg,34.031,26.888
32,ALNINC_WM_5B_2_P2.jpg,37.306,27.224
33,ALNINC_WM_5B_1_P16.jpg,25.624,24.550
34,ALNINC_WM_5B_2_P16.jpg,26.375,24.921
35,AMECAN_GR_10_1_P2.jpg,8.931,12.708
36,AMECAN_GR_10_2_P2.jpg,16.641,18.988
37,AMECAN_GR_10_1_P6.jpg,21.105,20.758
38,AMECAN_GR_10_2_P6.jpg,16.302,18.749
39,AMECAN_GR_10A_1_P3.jpg,12.901,17.971
40,AMECAN_GR_10A_2_P3.jpg,13.420,17.638
41,AMECAN_GR_10A_1_P5.jpg,10.668,14.649
42,AMECAN_GR_10A_2_P5.jpg,11.920,16.835
43,AMECAN_GR_10B_1_P3.jpg,9.053,12.806
44,AMECAN_GR_10B_2_P3.jpg,10.860,14.584
45,AMECAN_GR_10B_1_P5.jpg,30.033,24.579
46,AMECAN_GR_10B_2_P5.jpg,24.478,22.745
47,AMECAN_SH_2_1_P6.jpg,7.353,14.209
48,AMECAN_SH_2_2_P6.jpg,7.330,14.414
49,AMECAN_SH_3_1_P15.jpg,9.082,14.654
50,AMECAN_SH_3_2_P15.jpg,13.740,16.218
51,AMECAN_SH_4_1_P5.jpg,11.538,15.148
52,AMECAN_SH_4_2_P5.jpg,8.679,13.934
53,AMECAN_SH_4_1_P6.jpg,20.782,21.330
54,AMECAN_SH_4_2_P6.jpg,20.405,20.899
55,AROMEL_HF_4_1_P8.jpg,16.867,17.627
56,AROMEL_HF_4_2_P8.jpg,19.099,18.903
57,AROMEL_HF_8A_1_P11.jpg,13.092,16.857
58,AROMEL_HF_8A_2_P11.jpg,21.842,21.514
59,AROMEL_HF_8B_1_P11.jpg,4.885,10.394
60,AROMEL_HF_8B_2_P11.jpg,3.458,8.354
61,AROMEL_HF_10_1_P8.jpg,10.035,13.974
62,AROMEL_HF_10_2_P8.jpg,11.523,14.854
63,AROMEL_HF_12_1_P11.jpg,7.779,12.177
64,AROMEL_HF_12_2_P11.jpg,8.895,13.147
65,AROMEL_HF_12_1_P14.jpg,13.674,16.164
66,AROMEL_HF_12_2_P14.jpg,17.186,19.055
67,AROMEL_HF_13_1_P14.jpg,12.327,15.437
68,AROMEL_HF_13_2_P14.jpg,12.522,16.773
69,AROMEL_WM_2_1_P4.jpg,13.926,16.356
70,AROMEL_WM_2_2_P4.jpg,14.227,16.313
71,AROMEL_WM_2_1_P14.jpg,8.138,12.561
72,AROMEL_WM_2_2_P14.jpg,8.365,12.807
73,AROMEL_WM_5_1_P4.jpg,6.840,11.361
74,AROMEL_WM_5_2_P4.jpg,9.686,14.420
75,AROMEL_WM_5_1_P11.jpg,6.557,11.578
76,AROMEL_WM_5_2_P11.jpg,10.382,15.133
77,AROMEL_WM_7_1_P8.jpg,6.165,10.740
78,AROMEL_WM_7_2_P8.jpg,16.668,17.320
79,AROMEL_WM_15_1_P4.jpg,8.582,12.509
80,AROMEL_WM_15_2_P4.jpg,8.913,12.775
81,BETALL_GR_1_1_P3.jpg,25.162,28.915
82,BETALL_GR_1_2_P3.jpg,35.527,32.429
83,BETALL_GR_9_1_P3.jpg,24.616,27.847
84,BETALL_GR_9_2_P3.jpg,31.249,33.004
