 ,Label,Area,Perim.,Angle,Length
1,SORAME_GR_9A_1_P7.jpg,84.984,160.922,195.968,0
2,SORAME_GR_9A_1_P7.jpg,0.598,5.589,0,0
3,SORAME_GR_9A_1_P7.jpg,0.046,1.219,0,0
4,SORAME_GR_9A_1_P7.jpg,0.723,6.739,0,0
5,SORAME_GR_9A_1_P7.jpg,0.25,2.903,0,0
6,SORAME_GR_9A_1_P7.jpg,0.355,3.927,0,0
7,SORAME_GR_9A_1_P7.jpg,0.546,4.236,0,0
8,SORAME_GR_9A_1_P7.jpg,0.79,5.46,0,0
9,SORAME_GR_9A_1_P7.jpg,0.747,4.973,0,0
10,SORAME_GR_9A_2_P7.jpg,46.403,92.053,120.536,0
11,SORAME_GR_9A_2_P7.jpg,0.221,2.688,0,0
12,SORAME_GR_9A_2_P7.jpg,0.254,3.243,0,0
13,SORAME_GR_9A_2_P7.jpg,0.337,5.244,0,0
14,SORAME_GR_9A_2_P7.jpg,0.266,3.555,0,0
15,SORAME_GR_9A_2_P7.jpg,0.184,2.313,0,0
16,SORAME_GR_9A_2_P7.jpg,0.435,4.631,0,0
17,SORAME_GR_9A_2_P7.jpg,0.34,3.781,0,0
18,SORAME_GR_9A_2_P7.jpg,0.265,3.028,0,0
19,SORAME_GR_9B_1_P7.jpeg,55.495,158.193,159.917,0
20,SORAME_GR_9B_1_P7.jpeg,0.091,1.724,0,0
21,SORAME_GR_9B_2_P7.jpg,53.019,97.475,113.003,0
22,SORAME_GR_9B_2_P7.jpg,0.03,1.089,0,0
23,SORAME_GR_9B_2_P7.jpg,0.014,0.58,0,0
24,SORAME_GR_9B_2_P7.jpg,0.017,0.794,0,0
25,SORAME_GR_9B_2_P7.jpg,0.006,0.434,0,0
26,SORAME_GR_9B_2_P7.jpg,0.053,1.325,0,0
27,SORAME_GR_9B_2_P7.jpg,0.007,0.499,0,0
28,SORAME_GR_9B_2_P7.jpg,0.087,1.655,0,0
29,SORAME_GR_9B_2_P7.jpg,0.028,0.891,0,0
30,SORAME_GR_9B_2_P7.jpg,0.116,1.765,0,0
31,SORAME_GR_9B_2_P7.jpg,0.081,1.437,0,0
32,SORAME_GR_9B_2_P7.jpg,0.246,2.982,0,0
33,SORAME_GR_9B_2_P7.jpg,0.155,2.077,0,0
34,SORAME_GR_9B_1_P10.jpg,59.865,159.62,170.292,0
35,SORAME_GR_9B_1_P10.jpg,0.706,6.821,0,0
36,SORAME_GR_9B_1_P10.jpg,0.369,3.851,0,0
37,SORAME_GR_9B_2_P10.jpg,25.153,88.995,94.233,0
38,SORAME_GR_9B_2_P10.jpg,0.019,0.762,0,0
39,SORAME_GR_9B_2_P10.jpg,0.03,0.902,0,0
40,SORAME_GR_9B_2_P10.jpg,0.137,2.36,0,0
41,SORAME_GR_9B_2_P10.jpg,0.053,1.214,0,0
42,SORAME_GR_9C_1_P7.jpg,13.078,32.651,33.277,0
